trial,outcome
1,T
2,H
3,T
4,T
5,H
6,T
7,T
8,T
9,H
10,H
11,H
12,T
13,H
14,T
15,H
16,H
17,H
18,H
19,T
20,H
21,T
22,H
23,T
24,T
25,T
26,H
27,H
28,H
29,H
30,T
31,T
32,T
33,H
34,H
35,H
36,H
37,H
38,H
39,H
40,T
41,H
42,T
43,T
44,H
45,T
46,T
47,H
48,H
49,T
50,H
51,H
52,H
53,T
54,T
55,T
56,T
57,H
58,H
59,H
60,H
61,T
62,H
63,H
64,T
65,H
66,H
67,H
68,H
69,H
70,H
71,H
72,H
73,T
74,H
75,H
76,H
77,H
78,T
79,H
80,T
81,T
82,H
83,T
84,H
85,H
86,H
87,T
88,H
89,H
90,H
91,H
92,T
93,H
94,H
95,H
96,H
97,H
98,H
99,H
100,T
101,T
102,T
103,H
104,T
105,T
106,T
107,H
108,H
109,H
110,T
111,H
112,H
113,H
114,H
115,H
116,T
117,T
118,T
119,H
120,H
121,H
122,H
123,H
124,H
125,H
126,H
127,H
128,H
129,H
130,H
131,H
132,T
133,H
134,H
135,H
136,H
137,T
138,H
139,T
140,H
141,H
142,H
143,T
144,H
145,H
146,H
147,H
148,H
149,H
150,H
151,T
152,T
153,H
154,H
155,H
156,T
157,H
158,T
159,T
160,T
161,H
162,T
163,H
164,H
165,H
166,H
167,T
168,T
169,H
170,T
171,H
172,H
173,H
174,T
175,H
176,H
177,H
178,T
179,T
180,T
181,T
182,T
183,H
184,H
185,T
186,T
187,H
188,H
189,T
190,H
191,T
192,H
193,H
194,T
195,H
196,H
197,H
198,T
199,H
200,H
201,T
202,T
203,H
204,H
205,H
206,H
207,H
208,T
209,H
210,H
211,T
212,H
213,H
214,T
215,T
216,T
217,H
218,H
219,T
220,H
221,H
222,H
223,T
224,T
225,H
226,T
227,H
228,H
229,H
230,H
231,H
232,H
233,T
234,H
235,T
236,T
237,H
238,T
239,H
240,H
241,T
242,T
243,H
244,H
245,H
246,T
247,H
248,H
249,H
250,H
251,T
252,T
253,H
254,H
255,H
256,T
257,T
258,H
259,H
260,H
261,H
262,T
263,H
264,H
265,T
266,H
267,H
268,H
269,H
270,H
271,H
272,H
273,H
274,H
275,T
276,H
277,H
278,H
279,T
280,T
281,H
282,H
283,H
284,H
285,H
286,H
287,H
288,H
289,H
290,H
291,T
292,H
293,T
294,H
295,T
296,T
297,T
298,T
299,T
300,H
301,T
302,H
303,H
304,H
305,T
306,H
307,H
308,H
309,H
310,H
311,H
312,H
313,H
314,H
315,H
316,H
317,H
318,T
319,H
320,T
321,T
322,H
323,H
324,H
325,T
326,T
327,T
328,H
329,H
330,H
331,T
332,H
333,T
334,T
335,H
336,H
337,H
338,T
339,H
340,T
341,H
342,T
343,T
344,H
345,T
346,T
347,T
348,H
349,H
350,H
351,H
352,H
353,H
354,H
355,H
356,H
357,T
358,T
359,H
360,H
361,T
362,H
363,H
364,H
365,T
366,H
367,T
368,T
369,H
370,T
371,T
372,H
373,H
374,H
375,H
376,H
377,T
378,H
379,H
380,T
381,H
382,T
383,T
384,H
385,H
386,T
387,T
388,T
389,H
390,T
391,H
392,H
393,H
394,T
395,H
396,H
397,T
398,H
399,H
400,H
401,H
402,T
403,T
404,H
405,T
406,T
407,H
408,T
409,H
410,T
411,T
412,T
413,H
414,T
415,H
416,H
417,H
418,T
419,H
420,T
421,T
422,H
423,H
424,H
425,H
426,T
427,H
428,T
429,H
430,T
431,T
432,T
433,T
434,T
435,H
436,H
437,H
438,H
439,T
440,H
441,T
442,H
443,T
444,H
445,H
446,T
447,T
448,H
449,H
450,H
451,H
452,T
453,T
454,H
455,H
456,H
457,T
458,H
459,T
460,H
461,H
462,H
463,T
464,H
465,H
466,T
467,H
468,T
469,H
470,H
471,H
472,H
473,H
474,H
475,H
476,H
477,H
478,H
479,H
480,H
481,H
482,H
483,H
484,H
485,H
486,H
487,H
488,H
489,H
490,H
491,T
492,H
493,T
494,H
495,T
496,H
497,H
498,H
499,H
500,H
501,T
502,T
503,T
504,H
505,H
506,T
507,H
508,T
509,H
510,H
511,H
512,T
513,H
514,H
515,H
516,H
517,H
518,T
519,H
520,T
521,T
522,H
523,H
524,H
525,H
526,H
527,T
528,T
529,T
530,H
531,T
532,T
533,H
534,H
535,H
536,H
537,H
538,H
539,H
540,T
541,T
542,H
543,T
544,T
545,H
546,H
547,H
548,H
549,T
550,H
551,H
552,H
553,H
554,T
555,H
556,H
557,H
558,H
559,H
560,H
561,H
562,H
563,T
564,H
565,H
566,T
567,T
568,H
569,H
570,H
571,H
572,T
573,H
574,T
575,T
576,H
577,T
578,H
579,T
580,H
581,H
582,H
583,H
584,H
585,T
586,H
587,H
588,H
589,H
590,H
591,T
592,H
593,H
594,H
595,H
596,H
597,T
598,H
599,T
600,H
601,H
602,T
603,T
604,T
605,T
606,T
607,T
608,H
609,T
610,H
611,H
612,T
613,T
614,T
615,H
616,T
617,T
618,H
619,H
620,H
621,T
622,H
623,T
624,H
625,T
626,H
627,T
628,H
629,H
630,T
631,T
632,T
633,H
634,H
635,H
636,H
637,T
638,T
639,T
640,T
641,T
642,T
643,H
644,H
645,H
646,T
647,H
648,H
649,T
650,H
651,H
652,T
653,T
654,H
655,T
656,H
657,T
658,H
659,H
660,H
661,H
662,T
663,H
664,H
665,H
666,T
667,T
668,T
669,H
670,H
671,H
672,H
673,T
674,T
675,H
676,H
677,T
678,H
679,H
680,H
681,H
682,H
683,H
684,H
685,H
686,H
687,H
688,T
689,T
690,H
691,H
692,T
693,H
694,H
695,T
696,H
697,T
698,H
699,T
700,H
701,H
702,H
703,H
704,T
705,H
706,H
707,T
708,T
709,H
710,H
711,T
712,T
713,T
714,T
715,T
716,H
717,H
718,H
719,T
720,T
