trial,roll
1,4
2,1
3,1
4,5
5,4
6,2
7,5
8,3
9,3
10,3
11,6
12,6
13,3
14,3
15,3
16,1
17,3
18,6
19,5
20,4
21,3
22,6
23,4
24,6
25,6
26,1
27,2
28,5
29,2
30,3
31,3
32,4
33,1
34,3
35,4
36,2
37,3
38,4
39,3
40,3
41,3
42,1
43,4
44,1
45,4
46,1
47,4
48,5
49,3
50,1
51,3
52,3
53,4
54,2
55,1
56,5
57,3
58,4
59,5
60,5
61,5
62,3
63,2
64,1
65,3
66,4
67,4
68,5
69,5
70,3
71,2
72,4
73,6
74,6
75,4
76,4
77,5
78,4
79,4
80,3
81,3
82,3
83,6
84,4
85,5
86,4
87,4
88,4
89,4
90,2
91,6
92,2
93,4
94,3
95,3
96,6
97,4
98,3
99,5
100,5
101,3
102,6
103,6
104,3
105,5
106,2
107,2
108,5
109,6
110,3
111,3
112,3
113,3
114,4
115,6
116,5
117,5
118,5
119,3
120,6
121,4
122,3
123,4
124,5
125,4
126,3
127,6
128,4
129,4
130,6
131,6
132,4
133,3
134,2
135,1
136,3
137,1
138,5
139,2
140,2
141,3
142,4
143,1
144,2
145,6
146,4
147,6
148,2
149,5
150,2
151,4
152,5
153,2
154,1
155,4
156,3
157,4
158,4
159,5
160,4
161,5
162,6
163,6
164,3
165,2
166,5
167,3
168,5
169,2
170,2
171,3
172,3
173,1
174,6
175,3
176,2
177,2
178,1
179,4
180,5
181,4
182,3
183,5
184,3
185,1
186,3
187,2
188,2
189,2
190,3
191,3
192,4
193,6
194,4
195,5
196,6
197,4
198,2
199,1
200,5
201,4
202,3
203,5
204,1
205,5
206,5
207,4
208,4
209,4
210,3
211,3
212,1
213,4
214,6
215,3
216,2
217,4
218,3
219,2
220,3
221,2
222,5
223,3
224,5
225,2
226,1
227,5
228,3
229,5
230,1
231,2
232,6
233,2
234,4
235,3
236,3
237,1
238,4
239,1
240,3
241,4
242,6
243,5
244,3
245,5
246,3
247,1
248,2
249,1
250,3
251,4
252,3
253,4
254,4
255,3
256,5
257,3
258,2
259,4
260,4
261,4
262,5
263,3
264,2
265,6
266,4
267,2
268,2
269,3
270,4
271,6
272,2
273,5
274,6
275,3
276,5
277,2
278,3
279,3
280,3
281,3
282,5
283,4
284,5
285,3
286,3
287,3
288,2
289,5
290,6
291,2
292,1
293,1
294,1
295,3
296,5
297,3
298,3
299,6
300,6
301,1
302,3
303,6
304,5
305,6
306,5
307,3
308,4
309,5
310,5
311,4
312,1
313,6
314,3
315,1
316,4
317,4
318,4
319,5
320,2
321,6
322,5
323,2
324,4
325,6
326,3
327,4
328,5
329,5
330,3
331,4
332,4
333,3
334,2
335,3
336,3
337,2
338,1
339,4
340,4
341,6
342,4
343,3
344,1
345,1
346,3
347,3
348,2
349,5
350,1
351,4
352,4
353,3
354,4
355,5
356,5
357,2
358,5
359,6
360,1
361,3
362,5
363,2
364,2
365,6
366,4
367,3
368,6
369,5
370,4
371,5
372,4
373,4
374,3
375,4
376,1
377,5
378,5
379,2
380,3
381,2
382,1
383,3
384,3
385,5
386,5
387,4
388,2
389,5
390,1
391,5
392,3
393,6
394,3
395,3
396,5
397,3
398,6
399,1
400,6
401,5
402,3
403,5
404,6
405,5
406,2
407,1
408,3
409,6
410,3
411,3
412,3
413,4
414,5
415,5
416,1
417,3
418,1
419,3
420,2
421,2
422,5
423,3
424,3
425,4
426,3
427,2
428,2
429,1
430,6
431,3
432,4
433,4
434,5
435,6
436,2
437,1
438,4
439,5
440,3
441,3
442,4
443,5
444,3
445,6
446,4
447,4
448,1
449,4
450,1
451,1
452,5
453,5
454,3
455,3
456,2
457,5
458,1
459,4
460,3
461,6
462,5
463,3
464,4
465,2
466,1
467,5
468,4
469,3
470,4
471,6
472,2
473,3
474,2
475,3
476,3
477,4
478,5
479,1
480,3
481,1
482,1
483,3
484,3
485,5
486,3
487,3
488,4
489,3
490,5
491,1
492,4
493,1
494,3
495,4
496,2
497,5
498,3
499,5
500,3
